iter 3160: loss 4.1880, time 3791.30ms, mfu 3.53%
iter 3170: loss 4.0560, time 3798.51ms, mfu 3.54%
iter 3180: loss 4.1296, time 3799.99ms, mfu 3.54%
iter 3190: loss 4.1318, time 3792.49ms, mfu 3.55%
Iter 3200: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 3200: loss 4.1977, time 3798.47ms, mfu 3.55%
iter 3210: loss 4.3771, time 3792.39ms, mfu 3.56%
iter 3220: loss 4.1649, time 3801.71ms, mfu 3.56%
iter 3230: loss 4.2078, time 3797.25ms, mfu 3.56%
iter 3240: loss 4.0907, time 3799.26ms, mfu 3.56%
iter 3250: loss 4.3069, time 3798.10ms, mfu 3.57%
iter 3260: loss 4.2098, time 3796.52ms, mfu 3.57%
iter 3270: loss 3.9500, time 3804.84ms, mfu 3.57%
iter 3280: loss 4.2678, time 3801.01ms, mfu 3.57%
iter 3290: loss 4.2112, time 3806.51ms, mfu 3.57%
Iter 3300: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 3300: loss 4.1291, time 3799.41ms, mfu 3.57%
iter 3310: loss 4.0940, time 3791.78ms, mfu 3.58%
iter 3320: loss 4.2419, time 3793.17ms, mfu 3.58%
iter 3330: loss 4.1109, time 3797.68ms, mfu 3.58%
iter 3340: loss 4.1247, time 3806.23ms, mfu 3.58%
iter 3350: loss 3.9681, time 3794.03ms, mfu 3.58%
iter 3360: loss 4.1859, time 3805.01ms, mfu 3.58%
iter 3370: loss 4.2316, time 3796.50ms, mfu 3.58%
iter 3380: loss 4.2710, time 3803.37ms, mfu 3.58%
iter 3390: loss 4.2168, time 3796.08ms, mfu 3.58%
Iter 3400: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 3400: loss 4.2773, time 3803.08ms, mfu 3.58%
iter 3410: loss 4.1200, time 3796.40ms, mfu 3.58%
iter 3420: loss 3.9794, time 3790.32ms, mfu 3.58%
iter 3430: loss 4.1877, time 3806.94ms, mfu 3.58%
iter 3440: loss 3.8163, time 3795.24ms, mfu 3.58%
iter 3450: loss 3.7898, time 3801.83ms, mfu 3.58%
iter 3460: loss 4.0205, time 3805.93ms, mfu 3.58%
iter 3470: loss 4.5124, time 3799.35ms, mfu 3.58%
iter 3480: loss 4.0462, time 3802.16ms, mfu 3.58%
iter 3490: loss 4.1383, time 3801.94ms, mfu 3.58%
Iter 3500: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
step 3500: train loss 4.1270, val loss 4.1541
saving checkpoint to out-subset-norm
iter 3500: loss 4.3527, time 23182.88ms, mfu 3.28%
iter 3510: loss 3.7819, time 3787.80ms, mfu 3.32%
iter 3520: loss 3.7655, time 3801.84ms, mfu 3.34%
iter 3530: loss 4.3076, time 3805.21ms, mfu 3.37%
iter 3540: loss 4.1941, time 3803.58ms, mfu 3.39%
iter 3550: loss 4.1965, time 3804.28ms, mfu 3.41%
iter 3560: loss 3.9905, time 3798.79ms, mfu 3.43%
iter 3570: loss 4.1308, time 3796.64ms, mfu 3.44%
iter 3580: loss 4.2181, time 3800.23ms, mfu 3.46%
iter 3590: loss 4.1631, time 3800.27ms, mfu 3.47%
Iter 3600: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 3600: loss 4.0280, time 3796.60ms, mfu 3.48%
iter 3610: loss 3.8761, time 3800.88ms, mfu 3.49%
iter 3620: loss 4.2604, time 3798.76ms, mfu 3.50%
iter 3630: loss 4.1763, time 3793.95ms, mfu 3.51%
iter 3640: loss 3.8267, time 3801.52ms, mfu 3.52%
iter 3650: loss 4.1606, time 3797.68ms, mfu 3.53%
iter 3660: loss 4.6215, time 3808.45ms, mfu 3.53%
iter 3670: loss 4.1462, time 3797.99ms, mfu 3.54%
iter 3680: loss 4.2184, time 3795.26ms, mfu 3.54%
iter 3690: loss 4.2072, time 3799.07ms, mfu 3.55%
Iter 3700: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 3700: loss 4.2785, time 3790.49ms, mfu 3.55%
iter 3710: loss 3.9845, time 3796.24ms, mfu 3.55%
iter 3720: loss 4.1285, time 3802.51ms, mfu 3.56%
iter 3730: loss 4.2207, time 3803.77ms, mfu 3.56%
iter 3740: loss 4.3291, time 3799.57ms, mfu 3.56%
iter 3750: loss 4.2803, time 3796.26ms, mfu 3.57%
iter 3760: loss 4.3691, time 3787.79ms, mfu 3.57%
iter 3770: loss 4.5629, time 3791.31ms, mfu 3.57%
iter 3780: loss 4.0574, time 3793.28ms, mfu 3.57%
iter 3790: loss 4.1234, time 3802.19ms, mfu 3.57%
Iter 3800: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 3800: loss 4.1166, time 3791.23ms, mfu 3.58%
iter 3810: loss 3.8866, time 3792.55ms, mfu 3.58%
iter 3820: loss 4.1851, time 3804.10ms, mfu 3.58%
iter 3830: loss 4.0345, time 3798.60ms, mfu 3.58%
